Question,Option1,Option2,Option3,Option4,CorrectAnswerIndex
What is the capital city of Japan?,Tokyo,Seoul,Beijing,Hanoi,0
Which river is the longest in the world?,Amazon,Nile,Ganges,Mississippi,1
What is the largest country by area?,Russia,Canada,USA,China,0
Which desert is the largest in the world?,Sahara,Atacama,Karakum,Gobi,0
Which country has the most official languages?,Switzerland,India,South Africa,Canada,2
What is the highest mountain in the world?,K2,Mount Everest,Mount Kilimanjaro,Mount McKinley,1
Which continent has the fewest countries?,Asia,Antarctica,Europe,Australia,1
Which country has the most islands?,Finland,Canada,Indonesia,Sweden,0
What is the longest river in Europe?,Danube,Volga,Loire,Rhine,1
Which ocean is the largest?,Indian Ocean,Pacific Ocean,Atlantic Ocean,Arctic Ocean,1
What is the capital city of Brazil?,Buenos Aires,Santiago,Lima,Rio de Janeiro,3
Which country is completely landlocked in Europe?,Switzerland,Luxembourg,Monaco,Liechtenstein,3
What is the largest island in the world?,Greenland,Borneo,New Guinea,Sumatra,0
Which continent is home to the Sahara Desert?,Africa,Asia,Europe,North America,0
Which of these countries is not in Europe?,Italy,Turkey,Spain,Argentina,3
What is the smallest country in the world by area?,Malta,San Marino,Vatican City,Monaco,2
Which city is known as the "City of Canals"?,Rome,Venice,Amsterdam,Paris,1
Which country has the most pyramids in the world?,Mexico,Egypt,Sudan,Peru,2
What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,0
Which country is known as the "Land of the Rising Sun"?,China,Japan,Korea,Thailand,1
Which country is home to the famous Machu Picchu?,Argentina,Bolivia,Peru,Chile,2
Which U.S. state is known as the "Sunshine State"?,California,Florida,Texas,Arizona,1
Which city is the capital of Egypt?,Cairo,Alexandria,Port Said,Luxor,0
Which country does not border the Mediterranean Sea?,Spain,Italy,Turkey,Portugal,3
What is the longest mountain range in the world?,Andes,Rockies,Himalayas,Alps,0
Which of these countries is located in South America?,Chile,Japan,Australia,Thailand,0
What is the name of the largest lake in Africa?,Lake Tanganyika,Lake Victoria,Lake Baikal,Lake Malawi,1
Which of these countries does not have a coast on the Mediterranean Sea?,France,Italy,Greece,Switzerland,3
Which city is the capital of Australia?,Sydney,Melbourne,Perth,Canberra,3
Which continent has the most countries?,Asia,Africa,Europe,North America,1
What is the capital of Argentina?,Buenos Aires,Montevideo,Lima,Caracas,0
Which of these countries is known for the Great Wall?,India,China,Japan,South Korea,1
Which river flows through Paris?,Seine,Thames,Danube,Volga,0
What is the largest city in the United States by population?,New York City,Los Angeles,Chicago,Houston,0
Which country is home to the famous landmark the Eiffel Tower?,France,Italy,England,Spain,0
What is the second largest country by area?,Canada,USA,China,Russia,1
Which country is famous for the fjords?,Denmark,Sweden,Finland,Norway,3
Which of these countries is a landlocked country in Africa?,Kenya,Mali,South Africa,Egypt,1
Which country has the most time zones?,USA,France,China,Russia,3
Which mountain is the tallest in North America?,Mount McKinley,Mount St. Helens,Mount Rainier,Kilimanjaro,0
Which country is known for the Great Barrier Reef?,Australia,New Zealand,Fiji,Tonga,0
Which country is the largest producer of coffee in the world?,Brazil,Colombia,Vietnam,Indonesia,0
Which of these countries is not part of the United Kingdom?,England,Scotland,Northern Ireland,Wales,3
Which city is known as the "Big Apple"?,Los Angeles,Chicago,New York City,Miami,2
Which country is bordered by both the Atlantic and Pacific Oceans?,Mexico,USA,Canada,Chile,1
What is the capital of Iceland?,Reykjavik,Oslo,Stockholm,Helsinki,0
Which country is the world's largest producer of oil?,Russia,Saudi Arabia,USA,China,1
Which of these countries is an island nation?,Norway,Italy,Malta,Sweden,2
Which country is famous for the pyramids of Giza?,Ethiopia,Somalia,Kenya,Egypt,3
Which city is home to the famous Christ the Redeemer statue?,Buenos Aires,Rio de Janeiro,Sao Paulo,Lima,1
What is the longest river in Asia?,Mekong,Yellow River,Ganges,Amur,1
Which city is the capital of Thailand?,Bangkok,Hanoi,Manila,Jakarta,0
Which country is the largest in Africa by area?,Egypt,South Africa,Algeria,Nigeria,2
What is the smallest continent by land area?,Europe,Oceania,South America,Antarctica,1
Which country is the largest by population?,USA,India,China,Indonesia,2
Which of these countries is not in Africa?,Kenya,Japan,Nigeria,Egypt,1
Which island country is located to the southeast of India?,Sri Lanka,Bangladesh,Maldives,Thailand,0
Which continent is located entirely in the Southern Hemisphere?,Africa,Australia,South America,Antarctica,3
What is the capital of Germany?,Berlin,London,Paris,Zurich,0
Which city is home to the famous landmark the Colosseum?,Athens,Paris,Rome,London,2
Which river is the longest in South America?,Amazon,Paraná,Orinoco,Uruguay,0
Which ocean lies to the east of Africa?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,1
What is the capital of Italy?,Rome,Milan,Venezia,Florence,0
