Question,Option1,Option2,Option3,Option4,CorrectAnswerIndex
Which country is home to the Great Barrier Reef?,Australia,Indonesia,Philippines,Fiji,0
What is the second largest island in the world?,New Guinea,Greenland,Borneo,Sumatra,2
Which country is home to the city of Petra?,Jordan,Israel,Turkey,Syria,0
Which U.S. state is known as the "Golden State"?,California,Texas,Florida,New York,0
Which continent is known as the "Dark Continent"?,Asia,Europe,Australia,Africa,3
Which country has the most volcanoes?,Japan,Indonesia,Italy,USA,1
Which city is known as the "City of Light"?,Paris,London,New York,Tokyo,0
Which country is located to the north of the USA?,Canada,Mexico,Panama,Greenland,0
Which desert is the driest on Earth?,Sahara,Karakum,Atacama,Gobi,2
Which country has the most natural lakes?,Canada,USA,Sweden,Russia,0
Which city is the capital of Turkey?,Istanbul,Ankara,Izmir,Bursa,1
Which of these is an island in the Caribbean?,Cuba,Panama,Venezuela,Brazil,0
Which of these countries has the highest population density?,India,China,Bangladesh,Pakistan,2
Which is the largest lake in North America?,Lake Superior,Great Salt Lake,Crater Lake,Lake Ontario,0
Which of these countries does not border the Mediterranean Sea?,Spain,Italy,Tunisia,Saudi Arabia,3
Which country has the most UNESCO World Heritage Sites?,USA,China,Italy,India,2
What is the largest continent by population?,Asia,Europe,North America,Africa,0
Which is the longest river in North America?,Missouri River,Mississippi River,Amazon River,Colorado River,0
Which continent is home to the Amazon Rainforest?,South America,Central America,Asia,Africa,0
Which country is known as the "Pearl of Africa"?,Uganda,Kenya,Tanzania,Rwanda,0
Which of these rivers is in Europe?,Yangtze,Danube,Amazon,Ganges,1
Which U.S. state is known as the "Land of 10,000 Lakes"?,Minnesota,Alaska,Michigan,Florida,0
Which ocean lies to the west of South America?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,2
Which of these countries is not part of the African continent?,Nigeria,Kenya,Peru,Egypt,2
Which city is known for its iconic Red Square?,Berlin,London,Paris,Moscow,3
Which mountain range is the longest in Africa?,Atlas Mountains,Drakensberg,Appalachians,Alps,0
Which country has the most pyramids in the world?,Sudan,Egypt,Mexico,Peru,0
Which city is home to the famous Taj Mahal?,Mumbai,Kolkata,Agra,Delhi,2
What is the capital of Sweden?,Oslo,Helsinki,Stockholm,Reykjavik,2
Which river flows through Cairo?,Nile,Amazon,Mississippi,Danube,0
Which country has the highest mountain in Africa?,Kenya,Tanzania,Uganda,Sudan,1
Which country is home to the famous landmark the Acropolis?,Greece,Italy,Turkey,France,0
Which island country is located to the southeast of India?,Sri Lanka,Maldives,Malta,Philippines,0
Which country has the world's largest forest?,Brazil,Canada,Russia,Australia,2
Which U.S. state is known as the "Aloha State"?,Hawaii,California,Florida,Alaska,0
What is the capital of Peru?,Lima,Buenos Aires,Santiago,La Paz,0
Which river is known as the "Father of Rivers" in India?,Ganges,Yamuna,Godavari,Kaveri,0
Which is the highest navigable lake in the world?,Lake Titicaca,Lake Baikal,Lake Van,Lake Titicaca,0
Which country has the longest coastline in the world?,Australia,Canada,Indonesia,USA,1
What is the deepest part of the world's oceans?,Mariana Trench,Java Trench,Puerto Rico Trench,Philippine Trench,0
Which country does not have a land border with any other country?,Australia,New Zealand,Indonesia,Japan,0
Which city is located on two continents?,Istanbul,Jerusalem,Alexandria,Cairo,0
