Question,Option1,Option2,Option3,Option4,CorrectAnswerIndex
Which country is home to the ancient rock-hewn churches of Lalibela?,Eritrea,Sudan,Ethiopia,Kenya,2
What is the only country in the world to have a flag with a crescent moon and star in the middle?,Pakistan,Tunisia,Turkey,Malta,2
Which is the largest island in the world that is not a continent?,New Guinea,Greenland,Borneo,Sumatra,1
The city of Timbuktu is located in which country?,Algeria,Niger,Chad,Mali,3
Which country has the longest coastline in the world?,Canada,Australia,United States,Indonesia,0
What is the largest desert in the world by area (excluding polar deserts)?,Sahara Desert,Gobi Desert,Karakum Desert,Atacama Desert,0
Which country is the source of the world's longest river(the Nile)?,Uganda,Kenya,South Sudan,Uganda,0
Where is the famous Kiyomizu-dera Temple located?,Taiwan,South Korea,Japan,China,2
What is the capital city of Bhutan?,Colombo,Katmandu,Lhasa,Thimphu,3
Which country is the only one to border both the Atlantic and Pacific Oceans?,Nicaragua,Panama,Costa Rica,Honduras,1
What is the deepest lake in the world?,Lake Tanganyika,Lake Baikal,Lake Superior,Lake Victoria,1
The city of Casablanca is in which country?,Egypt,Algeria,Morocco,Tunisia,2
Which island is the smallest among the four main Hawaiian Islands?,Molokai,Lanai,Kauai,Oahu,0
What is the capital of the Seychelles?,Port Louis,Victoria,Malé,Suva,1
Which country has the most time zones?,France,Russia,United States,China,1
The Gobi Desert is primarily located in which two countries?,China and Mongolia,China and Kazakhstan,Mongolia and Russia,India and China,0
What is the capital city of Kyrgyzstan?,Astana,Almaty,Dushanbe,Bishkek,3
The Aksumite Kingdom known for its obelisks and stelae, was located in which modern-day country?,Ethiopia,Sudan,Kenya,Somalia,0
In which country is the archaeological site of Petra?,Saudi Arabia,Israel,Jordan,Egypt,2
Which is the largest country in Africa by land area?,Algeria,Democratic Republic of the Congo,South Africa,Nigeria,0
Where is the island of Socotra located?,Yemen,Oman,United Arab Emirates,Somalia,0
The city of Vilnius is the capital of which country?,Latvia,Lithuania,Estonia,Poland,1
Which country is home to the city of Dubrovnik(a UNESCO World Heritage Site)?,Croatia,Bosnia and Herzegovina,Serbia,Montenegro,0
Which country is known for having the highest per capita number of islands?,Sweden,Finland,Denmark,Norway,0
The Great Salt Lake is located in which U.S. state?,Colorado,Arizona,Nevada,Utah,3
Which mountain range forms the natural boundary between France and Spain?,Appalachians,Alps,Pyrenees,Andes,2
Which African country has the most pyramids?,Sudan,Egypt,Libya,Chad,1
What is the capital of Suriname?,Georgetown,Paramaribo,Cayenne,Bridgetown,1
The city of Ulaanbaatar is the capital of which country?,Nepal,Kyrgyzstan,Mongolia,Uzbekistan,2
Which country is home to the only active volcano in Europe?,Italy,France,Greece,Portugal,0
In which country is the city of Baku located on the Caspian Sea?,Azerbaijan,Turkmenistan,Kazakhstan,Armenia,0
Which country has the world's highest capital city?,Ecuador,Peru,Bolivia,Colombia,2
Which country was the site of the ancient city of Babylon?,Jordan,Iraq,Syria,Turkey,1
What is the capital city of the Maldives?,Colombo,Sri Jayawardenepura Kotte,Malé,Victoria,2
Which desert is known for its unique "singing" sand dunes?,Sahara Desert,Atacama Desert,Karakum Desert,Gobi Desert,0
The "Ring of Fire" refers to a region around which ocean?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,0
Which country is home to the island of Easter Island?,Peru,Chile,Argentina,Australia,1
The city of Oulu is located in which country?,Denmark,Norway,Sweden,Finland,3
The Danakil Depression one of the hottest places on Earth is located in which country?,Tanzania,Kenya,Sudan,Ethiopia,3
What is the capital city of Iceland?,Stockholm,Oslo,Reykjavik,Helsinki,2
Which is the largest country in South America by land area?,Brazil,Argentina,Peru,Colombia,0
The Tigris and Euphrates rivers flow through which modern-day country?,Syria,Iraq,Turkey,Iran,1
What is the largest city in New Zealand?,Queenstown,Wellington,Christchurch,Auckland,3
Which country is home to the famous landmark the Moai statues of Easter Island?,Peru,Argentina,Chile,Australia,0
Which country is bordered by both the Mediterranean Sea and the Atlantic Ocean?,Morocco,Spain,Portugal,Italy,1
The Galápagos Islands belong to which country?,Peru,Chile,Ecuador,Colombia,2
Which is the highest waterfall in the United States?,Yosemite Falls,Angel Falls,Niagara Falls,Bridalveil Fall,0
Which country has the largest number of UNESCO World Heritage Sites?,Spain,China,Italy,Germany,2
Which city is known as the "City of Light"?,Rome,London,Paris,New York,0
The country of Liechtenstein is located between which two countries?,Switzerland and Austria,Sweden and Norway,Germany and Austria,Italy and Switzerland,0
